DESIGNATION,RA,DEC
13 Lyncis,101.7064117,57.16900482
13 Pegasi,327.5365409,17.28556052
13 Piscis Austrini,331.0993308,-29.91651963
13 Piscium,352.9899003,-1.085819404
13 Pup,120.5662784,2.335041456
13 Scorpii,243.0757909,-27.9264837
13 Sextantis,151.0347934,3.200638288
13 Tauri,55.5789697,19.70019726
13 Trianguli,37.20172147,29.93207573
13 Virginis,184.6681387,-0.787257772
13 Vul,298.3655075,24.07977564
130 Tauri,86.85913423,17.72912296
132 Tauri,87.25398106,24.56739979
133 Tauri,86.92880371,13.89954503
134 Tauri,87.38711059,12.65123999
135 Tauri,87.62049161,14.30543962
136 Tauri,88.33188083,27.6122193
139 Tauri,89.49856114,25.9539028
14 Aquilae,285.727157,-3.698957456
14 Arietis,32.35592231,25.93972721
14 Bootis,213.5204219,12.95920005
14 Camelopardis,78.3798332,62.69113815
14 Canis Minoris,119.5853727,2.225204602
14 Ceti,8.887442207,-0.505887622
14 Comae Berenices,186.6001891,27.26818646
14 Cygni,294.8604894,42.81840848
14 Delphini,312.4512059,7.864245531
14 Eridani,49.14901342,-9.154434331
14 Geminorum,96.42799828,21.64497368
14 Monocerotis,98.69292453,7.572474564
14 Ophiuchi,250.4265594,1.18146781
14 Ori,76.97046838,8.498223765
14 Pegasi,327.4613208,30.1740952
14 Persei,41.02151449,44.2970116
14 Piscium,353.538038,-1.247622862
14 Puppis,121.172548,-19.72814101
14 Sagittarii,273.5661767,-21.71326764
14 Serpentis,234.1403519,-0.561627433
14 Sextantis,151.6974524,5.611421963
14 Sge,300.8750866,16.03121591
14 Tauri,55.94727319,19.6647883
14 Trianguli,38.02595542,36.14732547
14 Vulpeculae,299.7935736,23.10130971
140 Pup,115.0967002,-15.26404265
141 Tauri,90.4233956,22.40095379
145 CMa,109.1534589,-23.31557665
15 Aquarii,319.5461911,-4.519423114
15 Bootis,213.7117812,10.09987723
15 Canis Majoris,103.3870845,-20.22423235
15 Ceti,9.518739975,-0.503574026
15 Cyg,296.0695946,37.35451339
15 Delphini,312.4076041,12.54555867
15 Draconis,246.9955958,68.76828975
15 Eridani,49.59215317,-22.51106442
15 Geminorum A,96.94385627,20.78933442
15 Lacertae,343.0091428,43.31252242
15 Lyncis,104.3191348,58.42215041
15 Monocerotis,100.2444166,9.895739134
15 Orionis,77.42484075,15.59718077
15 Pegasi,328.1243533,28.79326806
15 Piscium,353.8688666,1.31302702
15 Trianguli,38.94523285,34.68733261
15 Ursae Majoris,137.2167559,51.60450045
15 Vulpeculae,300.2754928,27.75359077
154 Vel,145.9254684,-53.89113469
15A Aquilae,286.2404046,-4.031540681
15B Aquilae,286.2349134,-4.041046581
16 Aquarii,320.267948,-4.560075057
16 Arietis,32.80018802,25.93692064
16 Aurigae,79.54421715,33.37089799
16 Camelopardis,80.86613552,57.54415712
16 Cas,8.60408966,66.7503359
16 Comae Berenices,186.7470102,26.82566109
16 Cygni A,295.452938,50.5243542
16 Cygni B,295.4656128,50.51680165
16 Delphini,313.9108878,12.5687005
16 Draconis,249.0474906,52.90017524
16 Geminorum,96.98599314,20.49637769
16 Herculis,243.86899,18.8077124
16 Leonis Minoris,147.5577955,39.63173488
16 Librae,224.2953888,-4.34714272
16 Lyncis,104.4044786,45.09407885
16 Lyrae,285.3600708,46.93440366
16 Mon,101.6350292,8.587134592
16 Ophiuchi,251.3736312,1.020193777
16 Pegasi,328.2657518,25.92513147
16 Persei,42.64718913,38.31815668
16 Piscium,354.0965509,2.102493075
16 Puppis,122.256766,-19.24505211
16 Scorpii,243.0306833,-8.547581759
16 Serpentis,234.1234182,10.00959637
16 Sextantis,152.3119004,6.170884312
16 Vel,123.3928247,-50.19607584
16 Virginis,185.0861168,3.312288368
16 Vulpeculae B,300.5064818,24.93828785
17 Camelopardis,82.54245857,63.06719806
17 Canis Majoris,103.7614072,-20.40492269
