DESIGNATION,RA,DEC
lambda Piscium,355.5111071,1.779354636
lambda Pyxidis,140.800399,-28.83375862
Lambda Serpentis,236.609889,7.352758689
Lambda Tauri,60.17004002,12.49028848
lambda Telescopii,284.6158021,-52.93866663
Lambda1 Fornacis,38.27917619,-34.65004748
Lambda1 Tucanae,13.10221493,-69.50406211
Lambda2 Sculptoris,11.05180571,-38.42115267
Lambda2 Tucanae,13.75138427,-69.52727839
Lesath ,262.690988,-37.29581348
LL Virginis,198.1906739,-1.758448505
LLNS 1946,158.9554245,-58.22426643
LLNS 2598,160.9676806,-60.11777533
LLNS 2863,161.934524,-59.87525192
LLNS 3222,163.3380718,-58.89343742
LLNS 3591,165.0664574,-57.56042542
LLNS 3625,165.3989347,-61.04883347
LLNS 3815,166.000825,-57.95533208
LLNS 4361,168.1878778,-64.16974512
LLNS 4470,168.3781999,-59.61932034
LLNS 495,153.3380936,-61.65882097
LLNS 507,153.2546445,-59.91807339
LLNS 5177,171.6474479,-61.11516007
LLNS 5521,173.7126268,-60.78610412
LLNS 5564,173.9263423,-61.28786777
LLNS 5614,174.0930623,-61.05242505
LLNS 5681,174.2371059,-61.18277379
LLNS 5866,175.2061712,-60.98054338
LLNS 5988,175.6559048,-60.42074248
LLNS 6651,178.7548718,-62.57767031
LLNS 677,153.8192282,-54.97419516
LLNS 6786,179.4164629,-62.44876958
LLNS 7152,181.0799018,-63.165697
LLNS 7192,181.473356,-65.54687805
LLNS 7555,183.091532,-62.95077532
LLNS 8230,186.62829,-63.12229647
LLNS 8267,186.853288,-63.78903311
LLNS 9341,193.3411861,-60.32849418
LM Muscae,191.3573262,-71.71135707
LN Andromedae,345.6881188,44.05872379
LN Lupi,241.2544548,-39.21691784
LN Velorum,130.4870872,-45.41069183
LN Virginis,198.6306614,11.33141543
LO Hydrae,127.1214484,-2.517176017
LP Aquarii,340.5254163,-5.102174041
LQ Andromedae,359.6935956,46.41318102
LQ Aquarii,341.5592056,-11.16644396
LQ Herculis,242.9083779,23.49474818
LR Velorum,139.6764417,-51.56063103
LS Canis Majoris,105.2747533,-25.21561011
LT Persei,44.32201655,31.93408669
LT Virginis,200.5073229,2.757206231
LU Aquarii,352.0302883,-12.21238288
LU Delphini,310.4924226,17.52168452
LV Draconis,285.057041,50.5334781
LV Hydrae,179.2653333,-33.31548124
LW Aquarii,358.1981134,-12.01703008
LW Comae Berenices,192.1943937,24.83975845
LW Velorum,153.3448999,-51.23303007
LX Aquarii,359.0300061,-21.99202593
LY Serpentis,234.5692235,24.52178897
LZ Canis Majoris,107.4292432,-25.23101852
LZ Cephei,330.5190266,58.00035222
m Car,144.8371541,-61.32795905
m Cen,201.0023106,-64.53576464
M Centauri,206.6641457,-51.43288672
m Leo,161.602723,18.8913401
M Puppis,109.5176469,-43.98680977
m Vel,147.919289,-46.54757645
m Virginis,205.4027984,-8.702807905
MA 5AB,163.4317637,-2.129137166
Maasym,262.6847172,26.11071754
Mago,77.40378114,69.63912685
Mahasim,89.93029218,37.21258463
Maia,56.45679586,24.36754142
Marfik,247.7285246,1.98389905
Markab,346.1905068,15.20508298
Markeb,114.7077072,-26.80375089
Matar,340.7506395,30.2211304
Mebsuta,100.983006,25.13107484
Megrez,183.8573483,57.03265316
Mekbuda,106.0271768,20.57029427
Meleph,130.1123709,19.54475838
Menkalinan,89.88217888,44.94743258
Menkar,45.4698878,4.08973877
Menkent,211.6706147,-36.36995475
Menkib,59.74126439,35.79104207
Merak,165.4609742,56.38257749
Merga,222.3277533,46.11585772
Meridiana,287.3685665,-37.90490334
Merope,56.58167145,23.94814381
Miaplacidus,138.2999061,-69.71720758
Mimosa,191.9302865,-59.688772
Minchir,129.6892367,3.34136394
Minkar,182.5308214,-22.61972201
Mintaka,83.00165625,-0.299078893
Mira,34.83664886,-2.978703639
Mirach,17.43301617,35.62055764
Miram,42.67433779,55.89543429
Mirfak,51.08070871,49.86117931
Mirzam,95.67493896,-17.95591869
Misam,47.37522069,44.85684247
Mizar,200.9823734,54.92525908
Mizar B,200.9855604,54.92168989
MN Delphini,305.6109988,16.91660024
MN Ursae Majoris,168.1334272,35.81340736
MN Velorum,129.5038679,-46.90421005
MO Cephei,330.9711018,63.12017992
MO Hydrae,192.9906895,-26.73812668
MO TrA,240.3551987,-66.8487002
MOAI 1,57.4023263,63.29668569
Mothallah,28.27050196,29.57778304
MQ Serpentis,229.8299778,1.763125183
MS Hydrae,124.8098497,-7.558124998
MT Delphini,308.0333328,18.62759538
MT Pegasi,345.7701802,20.91844677
mu 1 Chamaeleontis,150.1816205,-82.21453173
mu 1 Cru,193.6481751,-57.17798405
mu 1 Octantis,310.5159988,-76.18063421
mu 2 Chamaeleontis,151.0283609,-81.56525953
mu 2 Pavonis,300.4690287,-66.94427983
Mu Andromedae,14.18922879,38.49948894
Mu Aquarii,313.163646,-8.983449317
Mu Arietis,40.59153673,20.01126046
Mu Aurigae,78.35705772,38.48416328
mu Capricorni,328.3254632,-13.55171241
Mu Centauri,207.4039807,-42.47381501
Mu Ceti,41.23683023,10.11396172
Mu Eridani,71.37569808,-3.254716542
Mu Fornacis,33.2270329,-30.72379664
Mu Herculis A,266.6132135,27.71727504
Mu Horologii,45.9027619,-59.73805683
Mu Horologii,45.9027619,-59.73805683
mu Hydrae,156.5220108,-16.83664498
Mu Hydri,37.92169594,-79.10963127
mu Indi,316.3094884,-54.72720651
Mu Leporis,78.23312712,-16.20553469
Mu Librae A,222.3290825,-14.1490896
mu Lyrae,276.0573159,39.50721548
Mu Mensae,70.76665128,-70.93087312
mu Muscae,177.0609054,-66.81497943
mu Normae,248.5209194,-44.04532455
mu Ophiuchi,264.4612566,-8.11886635
Mu Orionis,90.59590503,9.647173253
mu Pegasi,342.5015144,24.60139286
Mu Persei,63.72447508,48.40925559
Mu Phoenicis,10.33139974,-46.08499242
Mu Piscium,22.54761437,6.143618209
Mu Piscium Australis,332.0962741,-32.98858453
Mu Serpentis,237.4047051,-3.430337303
mu Tauri,63.88366419,8.89225767
mu Telescopii,292.6445155,-55.1101041
Mu Velorum,161.6928645,-49.42047691
Mu Velorum B,161.6936813,-49.42013239
Mu Virginis,220.7655912,-5.65960644
mu01 Cyg,326.036696,28.74190889
mu01 Gru,333.9040748,-41.34657677
mu01 Pav,300.0960262,-66.9502659
mu02 Gru,334.1105273,-41.62724288
Mu1 Scorpii,252.9675592,-38.04748086
Muliphein,105.9395604,-15.63333783
Muphrid,208.6708629,18.39612274
Muscida,127.5649113,60.71768972
Musica,314.6078305,10.83913298
MV Delphini,308.5681786,19.53063227
MV Serpentis,278.0287274,3.659620588
MW Hydrae,130.539033,-3.049962677
MX Puppis,123.3729475,-35.89947213
MX TrA,254.8913229,-69.26821809
MX Velorum,121.3345571,-46.97837729
MY Hydrae,131.5398115,-10.82993766
MY Puppis,114.5758426,-48.60140949
MZ Canis Majoris,110.267985,-25.89158845
MZ Puppis,121.067426,-32.67480007
N Carinae,98.74402762,-52.97556198
n Centauri,193.3594813,-40.17900527
N Centauri A,208.0199729,-52.81164893
n Leonis,168.9662032,13.30751852
n Persei,57.38607925,33.09139852
N Puppis,119.3266818,-44.10983048
N Scorpii,247.8454978,-34.70444992
n Vel,130.304653,-47.31708327
N30 1041,72.86769891,-34.90637533
N30 1744,115.7725886,0.189285673
N30 268,19.26624433,-66.39778568
N30 268,19.26624433,-66.39778568
N30 2857,185.5302338,-67.52213313
N30 3371,224.1333692,-47.87929738
N30 3413,226.8350674,18.44160377
N30 3470,231.1217926,37.37755403
N30 5078,346.7236331,-38.89226323
N30 5196,354.866578,-46.6376561
N30 892,64.66712623,-52.85977137
Nahn,137.3397397,22.04547907
Naos,120.8958571,-40.00307351
Nashira,325.023618,-16.66241377
Nekkar,225.4862721,40.39043449
Nembus,24.49858186,48.62771419
NGC 2516a,119.5400782,-60.81684299
Nihal,82.06131805,-20.75981566
NN Hydrae,133.6593091,-11.37741532
NN Velorum,122.2895411,-48.68441818
NO Apodis,262.864342,-80.85932754
NO Canis Majoris,110.752864,-31.92375638
NO Pegasi,2.611467767,28.65281538
NO Velorum,123.4005839,-46.99158231
NP Geminorum,105.6064828,17.75563899
NQ Apodis,214.4304104,-76.08832406
NQ Virginis,217.1188917,5.680890363
NR Canis Majoris,111.7832808,-17.86485645
NR Delphini,314.296823,16.25140846
NR Virginis,217.2352384,3.719684603
NS Hydrae,136.7496996,1.462622389
NS Puppis,122.8395036,-39.61852984
NSV 1158,52.54573506,59.365737
NSV 13114,307.5749277,10.89594693
NSV 14158,336.833922,-64.96632071
NSV 2426,84.28692249,26.92437311
NSV 26175,359.3311763,61.02618683
NSV 3316,104.5314497,-27.16438613
NSV 5344,177.1608129,14.28424717
NSV 6316,203.6683293,-13.21434472
nu 1 Bootis,232.7323937,40.83301114
nu 1 Draconis,263.0451868,55.18448602
nu 1 Lupi,230.5335224,-47.92838429
nu 1 Lyrae,282.4413341,32.81280192
nu 2 Canis Majoris,99.17128532,-19.2561907
nu 2 Draconis,263.0679671,55.17318296
nu 2 Lyrae,282.4704325,32.55100797
Nu Andromedae,12.45365436,41.07882781
nu Aquarii,317.3989591,-11.37175926
nu Aquilae,291.6295361,0.338560608
Nu Arietis,39.70411505,21.96133493
Nu Aurigae,87.87241835,39.14852708
Nu Caeli,72.56739525,-41.32055507
nu Cancri,135.6844254,24.45287952
nu Cassiopeiae,12.20863076,50.9681289
nu Centauri,207.3759966,-41.68780287
nu Cephei,326.3621554,61.12079661
nu Chamaeleontis,146.5875766,-76.77636912
Nu Cygni,314.2934779,41.16710102
Nu Doradus,92.18379356,-68.84332695
Nu Eridani,69.07976184,-3.352481219
Nu Fornacis,31.12269925,-29.29675238
nu Gruis,337.1635881,-39.13249887
Nu Horologii,42.25711486,-62.806395
Nu Horologii,42.25711486,-62.806395
nu Hydrae,162.4066311,-16.19275976
Nu Hydri,42.61800375,-75.06706488
nu Indi,336.1727031,-72.2584107
Nu Leporis,79.99587231,-12.31555277
nu Librae,226.6564817,-16.25692193
nu Mensae,65.24227616,-81.57936426
nu Microscopii,308.4795411,-44.51620275
Nu Octantis,325.3702822,-77.39112031
nu Ophiuchi,269.7565995,-9.774150851
Nu Orionis,91.89305773,14.76838216
nu Pavonis,277.8434292,-62.27850403
nu Pegasi,331.4202511,5.0589809
Nu Persei,56.29837849,42.57854136
nu Pictoris,95.73228672,-56.37004958
Nu Piscium,25.35778813,5.487627211
nu Puppis,99.44029933,-43.19595284
nu Serpentis,260.2071285,-12.84686937
Nu Tauri,60.78910298,5.989283489
nu Telescopii,297.0057202,-56.3632217
nu Tucanae,338.2506417,-61.98221034
NU Velorum,128.9210214,-52.32223903
nu Virginis,176.4647373,6.528561818
NU Vulpeculae,303.5606033,28.69473221
nu01 Col,84.31874372,-27.87160002
nu02 Boo,232.9456281,40.89928135
nu02 Sgr,283.7802435,-22.67141046
Nunki,283.8163604,-26.29672411
Nusakan,231.9562807,29.10610368
NV Pegasi,322.2492218,22.17946445
NW Serpentis,275.3683332,5.435666107
NW Virginis,221.6839061,7.281385745
NZ Pavonis,297.7562338,-65.60579265
NZ Pegasi,324.7555319,20.26544557
NZ Velorum,129.9898104,-53.05462296
o Leonis,178.9189352,15.64682776
O Puppis,119.4653906,-45.57753535
Okab,286.352505,13.86305328
ome Leo,142.1144315,9.056776629
ome Phe,15.5076342,-57.0023108
omega 1 Aquarii,354.9463537,-14.22237186
omega 1 Aquilae,289.4541681,11.59548504
omega 1 Scorpii,241.7017222,-20.66929325
omega 2 Aquarii,355.6810581,-14.54519989
omega 2 Aquilae,289.9713128,11.53506397
omega 2 Cyg,307.8284632,49.22015287
omega 2 Scorpii,241.8515639,-20.86896481
Omega Andromedae,21.91634987,45.40619572
Omega Aurigae,74.81446102,37.88981079
omega Bootis,225.5270938,25.00792022
omega Cancri,120.2328859,25.39286937
omega Capricorni,312.9553323,-26.91914395
omega Carinae,153.4337767,-70.03787478
Omega Eridani,73.22353884,-5.452584502
Omega Fornacis,38.46118641,-28.2323545
omega Geminorum,105.6032156,24.21544451
omega Hydrae,136.493112,5.092283408
Omega Lupi,234.5124381,-42.56708694
Omega Octantis,227.7867799,-84.78782769
Omega Ophiuchi,248.0342583,-21.4662261
Omega Orionis,84.79643989,4.121470907
omega Pavonis,284.650741,-60.20040379
Omega Persei,47.82228318,39.61160056
omega Piscium,359.8285437,6.862825922
omega Serpentis,237.5732464,2.196297366
Omega Ursae Majoris,163.4950222,43.18985211
omega Virginis,174.6150094,8.134319769
Omega1 Tauri,62.29202415,19.60907612
Omega2 Tauri,64.31506302,20.578333
omicron 1 Cancri,134.3125702,15.32285725
omicron 2 Cancri,134.3969425,15.58137729
Omicron Andromedae,345.4803841,42.32598623
omicron Aquarii,330.8286263,-2.155417045
Omicron Arietis,41.13739666,15.31178771
Omicron Aurigae,86.47509844,49.8262875
omicron Bootis,221.3099754,16.96404318
Omicron Columbae,79.37172418,-34.89670996
Omicron Grus,351.6527245,-52.72104437
omicron Herculis,271.8856295,28.7625273
omicron Hydrae,175.0530531,-34.74466439
Omicron Indi,327.6962508,-69.62939586
Omicron Librae,230.2558831,-15.54821901
omicron Lupi,222.909435,-43.57547004
Omicron Pavonis,318.3359906,-70.12635079
Omicron Pegasi,340.4391608,29.30751267
Omicron Persei A,56.07988009,32.28847508
omicron Puppis,117.0214853,-25.93714868
Omicron Sagittarii,286.1711291,-21.74175578
Omicron Scorpii,245.1590459,-24.16940443
omicron Serpentis,265.3533061,-12.87555114
Omicron Tauri,51.20302758,9.028538894
Omicron Velorum,130.0731005,-52.92181484
Omicron Virginis,181.3012041,8.733166497
Omicron1 Canis Majoris,103.5331161,-24.1841929
Omicron1 Centauri,172.9419134,-59.44205356
Omicron1 Eridani,62.96645851,-6.83721581
Omicron2 Orionis,74.09247641,13.51426919
OO Apodis,229.8708368,-71.7920921
OP Andromedae,24.11323017,48.72269921
OP Hydrae,142.0553335,-7.720781952
OP Velorum,131.6272479,-45.9124851
OQ Serpentis,228.7403285,-2.414905277
OR Pegasi,328.4071241,19.17504563
OR Puppis,118.4945528,-26.34879708
OS Canis Majoris,107.3890016,-16.23450487
OS Puppis,123.4929215,-36.3222459
OS Ursae Majoris,124.8212858,62.50719437
OT Geminorum,111.1152017,15.51719434
OU Andromedae,357.4206611,36.42506931
OU Pegasi,329.9565514,23.94077364
OU Puppis,108.3054688,-45.18312595
OV Cephei,115.1238082,87.01995849
OV Geminorum,102.457577,16.20283564
OV Serpentis,231.2298236,-2.235180171
OW Hydrae,144.9474537,-10.57025453
OW Puppis,113.4626323,-36.33836548
OW Serpentis,231.6260869,10.03600266
OX Aurigae,103.2558567,38.86917744
OX Puppis,116.7738695,-39.33092432
OX Virginis,181.3958845,-5.845872855
OY Hydrae,149.7761482,-23.95074503
OY Pegasi,331.8749703,18.00056622
OY Velorum,135.4355802,-52.18862992
p Centauri,192.6713548,-33.9994092
P Cygni,304.4466539,38.0329001
p Orionis,81.12038829,-0.890732032
p Puppis,113.8450774,-28.36936919
p Velorum,159.3245317,-48.225667
Paikauhale,248.9705888,-28.21611804
Parenago 1891,83.81861967,-5.389696085
Parenago 2031,83.86000832,-5.416886438
Parenago 2131,83.91450789,-4.856028767
Parenago 2545,84.36399983,-5.938398155
Parenago 2602,84.47243277,-4.814028283
Parenago 2711,84.65822934,-6.573956393
Parenago 679,82.83705965,-6.708380126
Peacock,306.4119044,-56.73508972
Phact,84.91226376,-34.07421247
Phecda,178.4583668,53.69479733
Pherkad,230.1818713,71.83410166
Pherkad Minor,229.2745975,71.82394416
phi 1 Cancri,126.6152737,27.8930675
phi 1 Lupi,230.451037,-36.26175434
phi 2 Lupi,230.7888584,-36.85857904
Phi Andromedae,17.37555895,47.24173164
phi Aquilae,299.0595314,11.42374754
phi Aurigae,81.91201026,34.47570666
phi Bootis,234.4570166,40.35370041
phi Capricorni,318.9079806,-20.65170713
Phi Cassiopeiae A,20.02047279,58.23160776
phi Centauri,209.567631,-42.10084267
phi Cyg,294.8441991,30.15348094
phi Dra,275.1892117,71.33798137
Phi Eridani,34.12809888,-51.51226518
Phi Fornacis,37.007197,-33.81101543
Phi Geminorum,118.3740621,26.76564561
phi Gruis,349.5419317,-40.82490687
phi Herculis,242.1922417,44.93506986
Phi Hydrae,159.6451718,-16.87645396
phi Leonis,169.1649261,-3.651765922
phi Octantis,275.9019493,-75.04418938
phi Ophiuchi,247.7846485,-16.61289755
phi Pegasi,358.1219997,19.12012965
Phi Persei,25.91533158,50.68866948
Phi Phoenicis,28.59159786,-42.49706221
Phi Piscium,18.43735833,24.58360637
phi Sagittarii,281.414373,-26.99078242
phi Serpentis,239.3101494,14.41486865
Phi Tauri,65.08826069,27.35040949
phi Velorum,149.2154843,-54.56776992
Phi1 Ceti,11.04745822,-10.61005381
Phi2 Ceti,12.53058946,-10.64534919
Phi3 Ceti,14.00608083,-11.26655931
Phi4 Ceti,14.68263441,-11.38003949
pi 1 Doradus,95.65982213,-69.983892
pi 1 Hydri,33.56092306,-67.84120858
pi 1 Octantis,225.4623739,-83.22741388
pi 2 Doradus,96.36913851,-69.68940762
pi 2 Gruis,335.7847692,-45.92874721
pi 2 Hydri,33.86976806,-67.74641317
pi 2 Octantis,226.1952088,-83.03838918
Pi Andromedae,9.22029222,33.71932837
pi Aquarii,336.3193404,1.377409851
pi Arae,264.5225922,-54.50109943
Pi Arietis,42.32318847,17.46425601
Pi Aurigae,89.98371736,45.93670032
pi Cancri,138.8075285,14.94145864
Pi Canis Majoris,103.9062021,-20.13631926
Pi Centauri A,170.251414,-54.49106622
Pi Cephei,346.9745073,75.38736051
Pi Ceti,41.03057724,-13.85879358
Pi Chamaeleontis,174.3128109,-75.89654946
Pi Coronae Borealis,235.996921,32.5157643
pi Draconis,290.1672054,65.71471443
Pi Eridani,56.53581853,-12.10132428
Pi Fornacis,30.31078337,-30.00231369
pi Geminorum,116.8762562,33.41557094
pi Herculis,258.7616572,36.80917455
pi Hydrae,211.5931241,-26.68298803
pi Leonis,150.0532139,8.044122387
Pi Lupi A,226.2793784,-47.05133872
pi Pavonis,272.1452572,-63.66941132
Pi Pegasi,332.4967815,33.17813169
Pi Persei,44.69043695,39.66254201
pi Phoenicis,359.7328441,-52.74553061
Pi Piscium,24.27436244,12.14182596
Pi Puppis,109.2855942,-37.09744449
Pi Sculptoris,25.53552058,-32.32700636
pi Serpentis,240.5737362,22.80455636
Pi Tauri,66.65150724,14.71364704
Pi Tucanae,5.162618951,-69.62489714
Pi Tucanae,5.162618951,-69.62489714
Pi Virginis,180.2182971,6.614196441
pi. Lup,226.2799819,-47.05114264
pi.01 UMi A,232.2905794,80.44908035
pi01 Cnc,138.0707059,14.99713363
pi01 Col,91.67080735,-42.29879918
Pi1 Orionis,73.72405122,10.15026387
Pi2 Columbae,91.97018673,-42.15411655
Pi2 Orionis,72.65301718,8.900050278
Pi2 Ursae Majoris,130.0527907,64.32805415
Pi4 Orionis,72.80151646,5.605108306
Pi5 Orionis,73.56290685,2.440677616
Piautos,125.1338001,24.02222684
piInd,329.0587154,-57.89955336
Pipirima,253.0838698,-38.01763655
Plaskett's Star,99.3501661,6.135385754
Pleione,57.29683077,24.13649842
PMC 90-93 1350,217.6902133,63.18582758
PMC 90-93 2096,61.15432141,55.06631091
PMC 90-93 2200,68.44481145,13.25180696
PMC 90-93 806,111.2837191,-13.75197907
PMC 90-93 934,196.5881728,21.15319235
PN Ou 4,317.9506494,59.98635631
Polaris,37.95454167,89.26411111
Polis,273.440875,-21.05883719
Pollux,116.3289578,28.02619889
Porrima,190.4123843,-1.449687825
Porrima,190.4124271,-1.449023063
PP Carinae,158.0059326,-61.68528632
PP Pegasi,332.5707901,32.28821289
PPM 104692,243.1898074,26.6704299
PPM 106959,273.683393,29.20623843
PPM 108452,287.01489,21.69926458
PPM 116613,8.977734745,13.20627897
PPM 119676,62.677081,18.42311655
PPM 120071,69.17011717,15.8692047
PPM 121072,83.05890332,17.05808603
PPM 121393,86.8048297,14.48813734
PPM 122145,93.61915872,17.90622089
PPM 125809,132.6682539,18.00346902
PPM 127764,162.7851336,11.5786257
PPM 133352,261.1408711,15.60609529
PPM 140969,330.5057852,10.97381497
PPM 148621,78.3814364,1.967639921
PPM 149079,82.81055999,3.292129281
PPM 157110,160.8372703,4.74752211
PPM 173107,337.4913285,4.431011083
PPM 176187,93.89206793,-0.513159751
PPM 188255,84.14872922,-6.064749995
PPM 188972,93.87374004,-4.914869292
PPM 197859,221.0560686,-8.251599906
PPM 216077,84.81757467,-17.84940836
PPM 225013,177.8401474,-12.18760735
PPM 237281,305.1941537,-14.78489275
PPM 249776,90.81533908,-26.28416235
PPM 258448,165.6022254,-26.83205889
PPM 266171,254.200127,-23.150373
PPM 286423,141.0679286,-39.42560794
PPM 295023,246.1322223,-37.56617646
PPM 296399,262.3569055,-38.51689821
PPM 319747,219.7939109,-46.5854279
PPM 320951,236.0943674,-41.81921457
PPM 32145,141.2323001,51.57385899
PPM 322964,261.7165241,-45.84315597
PPM 330472,11.2514453,-53.71487972
PPM 335251,97.99294764,-58.75382922
PPM 34930,230.0215414,51.95856589
PPM 361097,224.1596745,-62.36442683
PPM 371327,179.9055498,-78.22189357
PPM 37541,293.5826716,51.23578063
PPM 52553,174.6833323,45.10848446
PPM 52717,179.30984,40.34346622
PPM 55997,257.9179396,49.74644075
PPM 59137,299.8351596,45.77245837
PPM 61427,321.3326773,46.71455529
PPM 7101,129.20282,74.72359723
PPM 71144,90.73031085,32.63475615
PPM 77269,203.5912258,38.7893607
PPM 78231,223.9938507,32.30004832
PPM 87781,336.6898121,37.4436813
PQ Pegasi,334.3740514,5.144167536
PQ Puppis,122.1567996,-37.68118741
PR Puppis,108.6916788,-46.84967092
Praecipua,163.3283586,34.21365363
Prima Giedi,304.4120535,-12.50820488
Procyon,114.8254979,5.224987556
Propus,93.71906924,22.50675368
PS Hydrae,152.345502,-13.36233115
PS Muscae,193.7924303,-68.90679269
PS Vulpeculae,295.9832102,27.1353761
psi 1 Aurigae,96.22458873,49.28788253
psi 1 Lupi,234.9416133,-34.4119708
psi 1 Pavonis,308.8958412,-60.58257517
psi 2 Aurigae,99.83261001,42.48862921
psi 2 Draconis,268.7965938,72.00511461
psi 3 Aquarii,349.7405193,-9.610784052
psi 3 Aurigae,99.70487361,39.90250979
psi 4 Aurigae,100.770442,44.52431584
psi 6 Aurigae,101.9149264,48.78950548
psi 7 Aurigae,102.6912781,41.78062053
psi 8 Aurigae,103.4877968,38.5048973
psi Andromedae,356.5085838,46.42024227
Psi Aquilae,296.142465,13.30274111
psi Bootis,226.1105579,26.94762594
psi Capricorni,311.5236292,-25.27159568
psi Cas,21.48431435,68.13013073
psi Centauri,215.1389373,-37.88534222
psi Crateris,168.1264362,-18.49995603
Psi Cygni,298.9071823,52.4388147
Psi Eridani,75.35977998,-7.173933668
psi Fornacis,43.39365083,-38.43684508
psi Hydrae,197.263509,-23.11824889
psi Leonis,145.9329525,14.02169413
psi Octantis,334.4600458,-77.51149392
Psi Ophiuchi,246.0256197,-20.03752618
psi Pegasi,359.4395212,25.14126236
Psi Persei,54.12256522,48.19251603
psi Phe,28.41082402,-46.30305481
Psi Sagittarii,288.8853036,-25.25681667
Psi Scorpii,242.9999647,-10.06428105
Psi Tauri,61.75143818,29.00134411
psi Ursae Majoris,167.4154777,44.4983643
Psi Velorum A,142.6736972,-40.46646597
Psi Velorum A,142.6739667,-40.46656019
Psi Virginis,193.5880791,-9.539057096
psi02 Psc,16.98859992,20.73866924
Psi1 Piscium B,16.42405873,21.46537694
Psi2 Orionis,81.70929344,3.095668293
PT Pegasi,335.2503133,26.93512456
PT Puppis,114.1709497,-19.70232347
PT Serpentis,236.5233874,-1.80432738
PU Aurigae,79.56551853,42.79197518
PU Geminorum,92.43327175,23.11345257
PU Puppis,114.5751795,-25.36483452
PV Pegasi,335.9849898,31.26176061
PW Telescopii,293.339985,-45.27188571
PX Geminorum,94.2446107,23.7409062
PX Puppis,119.0946662,-30.28463647
PY Andromedae,9.083834061,27.25471303
PY Puppis,120.1206288,-48.87175603
Q Centauri,205.4362079,-54.55953713
q Her,242.8697599,16.66571254
q Pup,124.6381923,-36.6588428
Q Puppis,117.0833299,-47.07807373
Q Scorpii,264.1368011,-38.63621785
q Vel,153.6830836,-42.12172113
QQ Hydrae,161.889016,-31.60322844
QQ Serpentis,270.5926629,-12.31838568
QQ Telescopii,294.9239408,-45.27852807
QS Aquilae,295.2730389,13.81562955
QS Puppis,117.3035636,-46.8576781
QS Vulpeculae,303.8760082,23.50887073
QT Hydrae,171.9945227,-35.32885577
QU Geminorum,102.4303195,25.48420278
QU Normae,247.4263439,-46.24324913
QU Puppis,117.91812,-42.88816972
QV Geminorum,102.5090775,12.05810831
QV Telescopii,274.2813531,-56.02340742
QW Puppis,108.1392237,-46.75882713
QY Carinae,152.9434874,-58.0605148
QY Normae,241.0888045,-53.71043705
QY Puppis,116.9105167,-15.99067324
QY Serpentis,238.6438245,20.31115694
QZ Puppis,118.1609777,-38.86279731
QZ Sagittae,298.0906861,18.67183037
QZ Velorum,148.2502917,-55.37318896
R 125,144.1058846,-48.75126167
R 161,162.3516671,-59.32381948
R 164A,164.8081347,-61.32072075
R 193,184.4467063,-36.09400596
R 207,191.5695495,-68.108147
R 207B,191.5701496,-68.10797815
R 213,196.8512404,-59.86043811
R 223AB,204.5317628,-58.41476975
R 227AB,209.0829743,-54.13251664
R 283,250.6210478,-37.07973383
R 314A,282.4321187,-72.99576255
R 65B,97.45380185,-50.23931684
R 87A,134.0801431,-52.72340937
R Apodis,224.4694322,-76.6627284
R Aquilae,286.5927322,8.229697892
R Canis Majorae,109.8681781,-16.39586581
r Car,158.8969398,-57.55763216
R Carinae,143.0604644,-62.78880279
r Cen,199.2215626,-31.50641526
R Centauri,214.1429168,-59.91372277
R Crateris,165.1409148,-18.32489519
R Doradus,69.18931858,-62.07749051
R Doradus,69.18931858,-62.07749051
R Eridani,73.82780337,-16.41756483
r Herculis,240.3094337,17.81909394
R Hydrae,202.4279884,-23.28126748
R Leonis,146.8895459,11.42860219
R Lyrae,283.833884,43.94645113
R Muscae,190.5208871,-69.40756402
R Puppis,115.219142,-31.66115097
R Scuti,281.8704263,-5.70529389
R TrA,229.9404108,-66.49607634
r Vel,155.5814386,-41.64969369
R Velorum,151.5296398,-52.1878656
Ran,53.22829342,-9.458168216
Rana,55.81166331,-9.760083664
Rasalas,148.1898347,26.00670619
Rasalhague,263.7341969,12.55900984
Rastaban,262.6080576,52.30144333
Regor,122.3831255,-47.33658633
Regulus,152.0929625,11.96720833
Renson 1090,10.44405013,-56.50106296
Renson 1120,10.86679682,47.02438184
Renson 1150,11.32132364,55.22137254
Renson 1170,11.54521177,44.86147425
Renson 1200,11.94214887,74.84753624
Renson 1350,13.44888579,52.68920226
Renson 1470,14.62991401,66.35173619
Renson 150,3.509451425,33.20595875
Renson 1500,14.59301324,-60.69613376
Renson 1510,15.0149028,44.71314271
Renson 180,3.733122945,22.28417806
Renson 2020,20.91969594,37.71485989
Renson 2130,21.71491675,-13.05646836
Renson 2190,22.71799036,66.09804453
Renson 2250,23.0315281,34.79994136
Renson 240,4.089921117,43.59494855
Renson 2790,28.03917455,50.79266352
Renson 2860,28.45252714,55.59757842
Renson 2950,29.00030214,68.68519414
Renson 30,1.933915857,-2.548671359
Renson 44990,263.3817676,57.55874048
Renson 58290,330.7359561,44.64971783
Renson 70,2.250696303,28.24751567
Renson 810,8.348348834,-71.26629957
Revati,18.43349812,7.575124155
rho 1 Sagittarii,290.4180416,-17.84710268
rho 2 Cancri,133.9152699,27.92733758
rho 2 Sagittarii,290.4625436,-18.30880299
rho And,5.280611917,37.96843284
rho Aqr,335.0497188,-7.821104042
